sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
SGNex_Hct116_directRNA,COMMD10:AP3S1,chr5,116092700,+,chr5,115895087,+,197.609,0,91,TRUE,TRUE,TRUE,02ceda8f-9cae-4e50-beec-4e53f7d89cfd,403,HighConfidence,Yes
SGNex_Hct116_directRNA,PANK2:MAVS,chr20,3889728,+,chr20,3854558,+,35.168,0,7,FALSE,TRUE,TRUE,8697ab21-9716-45ca-926c-7ecc1034ae92,354,HighConfidence,-
SGNex_Hct116_directRNA,LINC00511:SLC39A11,chr17,72592203,-,chr17,72649268,-,57.056,0,5,FALSE,TRUE,TRUE,653a1468-9ea7-45a2-a953-ccc3886d613b,608,HighConfidence,-
SGNex_Hct116_directRNA,RP11-96H19.1:RP11-446N19.1,chr12,46387972,+,chr12,46652390,+,264.428,0,4,FALSE,TRUE,FALSE,435b0028-4668-455d-9d47-3746dc63b774,239,HighConfidence,-
SGNex_Hct116_directRNA,HBG2:HBE1,chr11,5505351,-,chr11,5270156,-,235.206,0,3,FALSE,TRUE,FALSE,6f7490b7-ddf0-4a6f-835a-a9d37c50c50f,272,HighConfidence,-
SGNex_Hct116_directRNA,MANBA:UBE2D3,chr4,102760718,-,chr4,102809855,-,49.134,0,2,TRUE,TRUE,TRUE,9c12bca0-d0b2-4506-ae5f-1411a6a645b7,248,HighConfidence,-
SGNex_Hct116_directRNA,PARD3:CUL2,chr10,34814876,-,chr10,35039082,-,224.201,0,2,TRUE,TRUE,TRUE,5d307f93-1c63-4212-9bdf-fd8bceab02d7,418,HighConfidence,Yes
SGNex_Hct116_directRNA,GDAP1:FLJ39080,chr8,74363053,+,chr8,74612853,+,249.805,0,2,FALSE,TRUE,FALSE,1260c335-5894-4c80-aabe-d9150c642f4a,210,HighConfidence,-
SGNex_Hct116_directRNA,FBXL17:CWC27,chr5,108020925,-,chr5,65018159,+,43002.77,0,2,FALSE,TRUE,TRUE,b7f204fa-4bd1-44ae-86ca-bcc550cdbbc2,1514,HighConfidence,-
SGNex_Hct116_directRNA,C15orf57:CBX3,chr15,40562776,-,chr7,26201769,+,Inf,0,4,NA,FALSE,TRUE,0d30358f-dda2-4bfb-b2ab-b395baaaae26,298,LowConfidence,-
SGNex_Hct116_directRNA,SETD2:RPS14,chr3,47124072,-,chr5,150449510,-,Inf,0,3,NA,FALSE,TRUE,ERR6053050.21466,613,LowConfidence,-
SGNex_Hct116_directRNA,COMMD10:AP3S1,chr5,116092696,+,chr5,115902885,+,189.811,0,2,NA,FALSE,TRUE,39cb57e8-8445-4add-b461-a87e4cf323eb,879,LowConfidence,Yes
SGNex_Hct116_directRNA,HBG2:HBE1,chr11,5505351,-,chr11,5281951,-,223.4,0,2,NA,FALSE,FALSE,a320742d-59fe-46ab-87c2-da8001b4466a,283,LowConfidence,-
