sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
SGNex_MCF7_dRNA,RPS6KB1:VMP1,chr17,59914703,+,chr17,59839768,+,74.929,0,432,TRUE,TRUE,TRUE,0047e1d2-8188-41a7-9abc-d5b8a564073c,429,HighConfidence,Yes
SGNex_MCF7_dRNA,AC099850.1:VMP1,chr17,59107591,+,chr17,59838295,+,730.706,0,285,FALSE,TRUE,FALSE,00d967d5-82c0-4dd2-8406-951f66ff665d,414,HighConfidence,-
SGNex_MCF7_dRNA,BCAS4:BCAS3,chr20,50795173,+,chr17,61368327,+,Inf,0,254,FALSE,TRUE,TRUE,00397c08-52fb-451a-aed0-14a22107260d,160,HighConfidence,Yes
SGNex_MCF7_dRNA,SYTL2:PICALM,chr11,85757625,-,chr11,85974812,-,217.179,0,70,FALSE,TRUE,TRUE,03de8bbb-21a9-49dc-92c1-15cdfa127100,191,HighConfidence,Yes
SGNex_MCF7_dRNA,SLC25A24:NBPF6,chr1,108161182,-,chr1,108470597,+,309.407,0,63,TRUE,TRUE,TRUE,c5ee9f27-0a6a-43ed-b313-62c7a126e785,519,HighConfidence,Yes
SGNex_MCF7_dRNA,ARFGEF2:SULF2,chr20,48922010,+,chr20,47736942,-,1185.062,0,44,TRUE,TRUE,TRUE,081fe320-3064-4af4-8791-f88c648b92c2,214,HighConfidence,Yes
SGNex_MCF7_dRNA,ARFGEF2:SULF2,chr20,48922010,+,chr20,47736943,-,1185.061,0,24,FALSE,TRUE,TRUE,2ecbc939-ec46-428f-b92b-22335a405572,262,HighConfidence,Yes
SGNex_MCF7_dRNA,RPS6KB1:VMP1,chr17,59914703,+,chr17,59838295,+,76.406,0,22,FALSE,TRUE,TRUE,10f14076-7258-4f48-8f8c-9891530c54d1,432,HighConfidence,Yes
SGNex_MCF7_dRNA,RPS6KB1:VMP1,chr17,59912804,+,chr17,59839768,+,73.034,0,20,TRUE,TRUE,TRUE,04e94f64-6101-4877-9b01-fea5ffe75b11,337,HighConfidence,Yes
SGNex_MCF7_dRNA,ATP1A1:ZFP64,chr1,116396734,+,chr20,52052132,-,Inf,0,12,FALSE,TRUE,TRUE,2080c5f5-0fd7-47dc-947a-d3f0c125fd97,1240,HighConfidence,-
SGNex_MCF7_dRNA,MYO9B:FCHO1,chr19,17102557,+,chr19,17770425,+,667.871,0,11,TRUE,TRUE,FALSE,1549bb46-3302-4719-8fd8-0b537aba62cf,983,HighConfidence,Yes
SGNex_MCF7_dRNA,SMARCA4:CARM1,chr19,10986593,+,chr19,10904951,+,81.641,0,10,TRUE,TRUE,TRUE,0ca8f937-faa9-4bbd-aceb-ddb9966e00b6,860,HighConfidence,Yes
SGNex_MCF7_dRNA,RSBN1:AP4B1-AS1,chr1,113811710,-,chr1,113899872,+,88.159,0,9,FALSE,TRUE,TRUE,5bfe0254-870c-431f-8467-d01125317405,472,HighConfidence,-
SGNex_MCF7_dRNA,ATXN7L3:FAM171A2,chr17,44198020,-,chr17,44356588,-,158.565,0,9,FALSE,TRUE,TRUE,33ca3ede-9758-4d07-ad51-333cad8ad617,302,HighConfidence,Yes
SGNex_MCF7_dRNA,MYO6:SENP6,chr6,75749423,+,chr6,75678583,+,70.837,0,7,FALSE,TRUE,TRUE,0975c619-8dce-4b80-90d1-f3934f41ddb8,165,HighConfidence,Yes
SGNex_MCF7_dRNA,GATAD2B:NUP210L,chr1,153922733,-,chr1,154027597,-,104.858,0,7,FALSE,TRUE,TRUE,08ad5665-60cf-4541-b0c8-43608e59abc9,197,HighConfidence,Yes
SGNex_MCF7_dRNA,GATAD2B:NUP210L,chr1,153922733,-,chr1,154030054,-,107.317,0,7,FALSE,TRUE,TRUE,1eb12db9-c868-4ee9-afa3-450d306e5401,175,HighConfidence,Yes
SGNex_MCF7_dRNA,DEPDC1B:ELOVL7,chr5,60638750,-,chr5,60757645,-,118.891,0,7,TRUE,TRUE,TRUE,115607dc-31e7-4c03-bf0a-c951657ef165,930,HighConfidence,Yes
SGNex_MCF7_dRNA,TXLNG:SYAP1,chrX,16786589,+,chrX,16735227,+,51.349,0,5,FALSE,TRUE,TRUE,3c8930a5-d34a-456c-89a0-1f01c9448686,120,HighConfidence,Yes
SGNex_MCF7_dRNA,RPS6KB1:VMP1,chr17,59893325,+,chr17,59838295,+,55.017,0,5,FALSE,TRUE,TRUE,d17157a4-047b-426a-98cf-5e492909d5e1,198,HighConfidence,Yes
SGNex_MCF7_dRNA,GTF2I:GTF2IRD1,chr7,74691108,+,chr7,74539879,+,151.227,0,5,FALSE,TRUE,TRUE,cc25322f-aac0-4032-a0f9-3a8f6a0f582e,340,HighConfidence,Yes
SGNex_MCF7_dRNA,NEMF:LINC01588,chr14,49851563,-,chr14,49992873,-,141.303,0,4,FALSE,TRUE,TRUE,6cc5b2bd-708c-4ddc-9635-3f702d939ac0,284,HighConfidence,-
SGNex_MCF7_dRNA,AHCYL1:RAD51C,chr1,109985172,+,chr17,58734118,+,Inf,0,4,TRUE,TRUE,TRUE,75baa8e3-dd97-4025-b574-f04320e08f6b,328,HighConfidence,Yes
SGNex_MCF7_dRNA,GCN1L1:MSI1,chr12,120190298,-,chr12,120347514,-,157.213,0,3,TRUE,TRUE,TRUE,461a615a-89d3-476b-b99d-3e1772c4a63e,114,HighConfidence,-
SGNex_MCF7_dRNA,ANKHD1:CYSTM1,chr5,140449305,+,chr5,140243305,+,205.991,0,3,FALSE,TRUE,TRUE,ba5b49b8-c917-4f24-9fcf-7c165ddc223c,1213,HighConfidence,Yes
SGNex_MCF7_dRNA,NRIP1:AF127936.9,chr21,15064745,-,chr21,14857708,-,207.04,0,3,FALSE,TRUE,FALSE,22cd1476-be0b-47a1-b220-822eb2ba8662,130,HighConfidence,-
SGNex_MCF7_dRNA,MSL2:STAG1,chr3,136194972,-,chr3,136630981,-,436.001,0,3,FALSE,TRUE,TRUE,4edab8b3-51ef-410b-983d-7b336f54f137,696,HighConfidence,Yes
SGNex_MCF7_dRNA,PARD6B:BCAS3,chr20,50731852,+,chr17,61368327,+,Inf,0,3,FALSE,TRUE,TRUE,29bb7981-10d6-44ff-a7eb-79ac8d1ff807,361,HighConfidence,-
SGNex_MCF7_dRNA,PLXND1:TMCC1,chr3,129605329,-,chr3,129655103,-,49.771,0,2,FALSE,TRUE,TRUE,67d498f3-fa25-499a-873c-779b231f17b5,415,HighConfidence,Yes
SGNex_MCF7_dRNA,RPS6KB1:VMP1,chr17,59910611,+,chr17,59839768,+,70.842,0,2,FALSE,TRUE,TRUE,48df8c1d-c5c4-41a2-9a5c-27ccc65319a0,237,HighConfidence,Yes
SGNex_MCF7_dRNA,RPS6KB1:VMP1,chr17,59912804,+,chr17,59838295,+,74.502,0,2,FALSE,TRUE,TRUE,2f5ab082-1d7e-4624-86dc-55596fdc8323,270,HighConfidence,Yes
SGNex_MCF7_dRNA,RSBN1:AP4B1-AS1,chr1,113811710,-,chr1,113897868,+,86.155,0,2,FALSE,TRUE,TRUE,59e3917a-0d40-4c32-a51d-2b47986daf53,537,HighConfidence,-
SGNex_MCF7_dRNA,RP11-96H19.1:RP11-446N19.1,chr12,46387972,+,chr12,46652390,+,264.428,0,2,FALSE,TRUE,FALSE,565c38a2-2dcf-4d6f-89f7-713625e65aea,244,HighConfidence,-
SGNex_MCF7_dRNA,ARHGEF10L:PADI4,chr1,17648675,+,chr1,17363522,+,285.152,0,2,TRUE,TRUE,TRUE,0c1472c8-a384-41f3-8606-247713ca64ea,485,HighConfidence,Yes
SGNex_MCF7_dRNA,RP11-123O10.4:GRIP1,chr12,67069050,-,chr12,66596927,-,472.126,0,2,FALSE,TRUE,FALSE,6dae1f2f-fc18-4e25-b609-bb6129ed28f6,1168,HighConfidence,-
