sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
HG002_cDNA,IGKV5-2:IGKC,chr2,88897784,+,chr2,88861258,-,36.524,0,246,FALSE,TRUE,TRUE,064cb1c0-8825-44d7-8aab-b8ae49dd7401,672,HighConfidence,-
HG002_cDNA,RP11-96H19.1:RP11-446N19.1,chr12,46387972,+,chr12,46652390,+,264.428,0,74,FALSE,TRUE,FALSE,011397af-c1f9-4aa2-9572-d6cbc71799c2,457,HighConfidence,-
HG002_cDNA,RP11-444D3.1:SOX5,chr12,24213343,-,chr12,23896024,-,317.323,0,8,FALSE,TRUE,FALSE,361f75bd-d2af-4a30-8a25-77f6f01ba5ec,291,HighConfidence,-
HG002_cDNA,POP1:STK3,chr8,98128540,+,chr8,98548161,-,419.622,0,6,TRUE,TRUE,TRUE,03f8347b-edbc-4557-aea0-e12c3f829b21,637,HighConfidence,-
HG002_cDNA,TNFRSF13B:MX1,chr17,16948738,-,chr21,41427755,+,Inf,0,6,FALSE,TRUE,TRUE,0ff360cb-3fb5-49d9-a424-8fb52ec0f0b0,648,HighConfidence,-
HG002_cDNA,PSMD4:IDH3B,chr1,151266112,+,chr20,2658522,-,Inf,0,6,TRUE,TRUE,TRUE,6a070c74-43a7-4c73-9008-2847685b9c25,929,HighConfidence,-
HG002_cDNA,ADAR:KCNN3,chr1,154607992,-,chr1,154715003,-,107.009,0,5,TRUE,TRUE,TRUE,b117cc04-a957-4b13-bf36-65c8ed6bb1f4,700,HighConfidence,-
HG002_cDNA,VTI1A:RP11-57H14.3,chr10,112668998,+,chr10,112888735,+,219.739,0,5,FALSE,TRUE,FALSE,2c004847-ecf8-4658-b676-080bf5c14647,1253,HighConfidence,-
HG002_cDNA,IGHG1:IGHG3,chr14,106538220,-,chr14,105771405,-,766.818,0,5,TRUE,TRUE,FALSE,4628e759-0d19-4fcf-8d7e-e1d54e5076e0,231,HighConfidence,-
HG002_cDNA,IGHG1:IGHG3,chr14,106537911,-,chr14,105770337,-,767.581,0,5,FALSE,TRUE,FALSE,f484a1de-5cd8-4a6a-8c03-cfda59a67391,441,HighConfidence,-
HG002_cDNA,DEK:ACOT13,chr6,18236452,-,chr6,24697883,+,6461.426,0,5,TRUE,TRUE,TRUE,4a6ac059-e794-4125-aaf6-6d83079241fa,1314,HighConfidence,-
HG002_cDNA,GBE1:BTLA,chr3,81761375,-,chr3,112469804,-,30708.425,0,5,FALSE,TRUE,TRUE,0ef9068a-5e7b-406c-8871-faed4e2f90fd,284,HighConfidence,-
HG002_cDNA,MITD1:UBE2E3,chr2,99180831,-,chr2,181057693,+,81876.859,0,5,FALSE,TRUE,TRUE,0748d375-491a-43be-88ed-40e73c30bb04,314,HighConfidence,-
HG002_cDNA,MRPS14:DAD1,chr1,175014673,-,chr14,22565137,-,Inf,0,5,FALSE,TRUE,TRUE,14dfa661-3114-4feb-8943-f97e5c8f497f,373,HighConfidence,-
HG002_cDNA,ENO2:PSMD13,chr12,6914659,+,chr11,251546,+,Inf,0,5,FALSE,TRUE,TRUE,98631b3f-da3d-4b52-bdee-67985cdb4f7a,840,HighConfidence,-
