ID	Gene1	Gene2	NumSupp	Chrom1	Breakpoint1	Chrom2	Breakpoint2	SupportingReads
GF02	RPA3	UMAD1	5	chr7	7673451	chr7	7877281	Normal10_1495_5,Normal10_1493_11,Normal10_1493_14,Normal10_1493_6,Normal10_1493_7
GF03	UMAD1	ENSG00000283549	15	chr7	7801742	chr7	8003905	Normal10_1501_8,Normal10_1501_10,Normal10_1501_11,Normal10_1501_13,Normal10_1501_15,Normal10_1501_16,Normal10_1501_17,Normal10_1501_18,Normal10_1501_2,Normal10_1501_20,Normal10_1501_24,Normal10_1501_29,Normal10_1501_4,Normal10_1501_5,Normal10_1501_7
GF04	RPA3	ENSG00000283549	5	chr7	7673450	chr7	8003903	Normal10_1501_22,Normal10_1501_12,Normal10_1501_14,Normal10_1501_19,Normal10_1501_21
GF05	CPVL	CHN2	41	chr7	29146959	chr7	29354624	Normal10_2682_9,Normal10_2682_1,Normal10_2682_12,Normal10_2682_13,Normal10_2682_16,Normal10_2682_18,Normal10_2682_2,Normal10_2682_24,Normal10_2682_25,Normal10_2682_26,Normal10_2682_27,Normal10_2682_29,Normal10_2682_3,Normal10_2682_4,Normal10_2682_5,Normal10_2682_6
GF06	CPVL	CHN2	11	chr7	29194988	chr7	29398374	Normal10_2690_9,Normal10_2687_19,Normal10_2689_12,Normal10_2690_10,Normal10_2690_11,Normal10_2690_17,Normal10_2690_19,Normal10_2690_20,Normal10_2690_22,Normal10_2690_24,Normal10_2690_26
GF08	CPVL	CHN2	3	chr7	29194987	chr7	29400536	Normal10_2689_19,Normal10_2686_1,Normal10_2686_28
GF012	TES	ENSG00000237813	13	chr7	116243936	chr7	116482812	Normal10_9393_7,Normal10_9393_11,Normal10_9393_12,Normal10_9393_16,Normal10_9393_19,Normal10_9393_20,Normal10_9393_21,Normal10_9393_22,Normal10_9393_27,Normal10_9393_28,Normal10_9393_3,Normal10_9393_4,Normal10_9393_6
GF013	TES	ENSG00000237813	5	chr7	116239248	chr7	116482812	Normal10_9393_9,Normal10_9393_10,Normal10_9393_2,Normal10_9393_29,Normal10_9393_8
GF014	ENSG00000243243	CAV2	24	chr7	116290049	chr7	116497765	Normal10_9404_7,Normal10_9404_1,Normal10_9404_11,Normal10_9404_12,Normal10_9404_13,Normal10_9404_14,Normal10_9404_15,Normal10_9404_16,Normal10_9404_17,Normal10_9404_18,Normal10_9404_19,Normal10_9404_2,Normal10_9404_20,Normal10_9404_21,Normal10_9404_22,Normal10_9404_23,Normal10_9404_24,Normal10_9404_25,Normal10_9404_26,Normal10_9404_27,Normal10_9404_31,Normal10_9404_4,Normal10_9404_5,Normal10_9404_6
GF015	WNT2	CFTR	3	chr7	117301030	chr7	117503473	Normal10_9516_7,Normal10_9516_15,Normal10_9516_17
GF016	TMEM229A	ENSG00000242593	44	chr7	124032280	chr7	124287287	Normal10_9823_8,Normal10_9822_1,Normal10_9822_13,Normal10_9822_15,Normal10_9822_16,Normal10_9822_19,Normal10_9822_2,Normal10_9822_22,Normal10_9822_23,Normal10_9822_24,Normal10_9822_25,Normal10_9822_27,Normal10_9822_29,Normal10_9822_4,Normal10_9822_6,Normal10_9822_7,Normal10_9822_8,Normal10_9822_9,Normal10_9823_1,Normal10_9823_11,Normal10_9823_12,Normal10_9823_13,Normal10_9823_14,Normal10_9823_17,Normal10_9823_19,Normal10_9823_2,Normal10_9823_20,Normal10_9823_21,Normal10_9823_24,Normal10_9823_25,Normal10_9823_27,Normal10_9823_28,Normal10_9823_29,Normal10_9823_3,Normal10_9823_4,Normal10_9823_7
GF018	ENSG00000230386	GRM8	3	chr7	65617081	chr7	127106493	Normal10_9925_25,Normal10_9925_14,Normal10_9925_23
GF019	ENSG00000287744	DPP6	25	chr7	153749008	chr7	154446211	Normal11_2329_9,Normal11_2329_1,Normal11_2329_10,Normal11_2329_13,Normal11_2329_14,Normal11_2329_15,Normal11_2329_16,Normal11_2329_17,Normal11_2329_2,Normal11_2329_20,Normal11_2329_21,Normal11_2329_22,Normal11_2329_23,Normal11_2329_24,Normal11_2329_26,Normal11_2329_27,Normal11_2329_28,Normal11_2329_29,Normal11_2329_3,Normal11_2329_30,Normal11_2329_4,Normal11_2329_5,Normal11_2329_6,Normal11_2329_7,Normal11_2329_8
GF020	ERICH1	DLGAP2	4	chr8	737825	chr8	1501365	Normal11_2712_39,Normal11_2712_14,Normal11_2712_21,Normal11_2712_22
GF021	ENSG00000286622	MSRA	3	chr8	10054657	chr8	10301532	Normal11_3310_7,Normal11_3310_25,Normal11_3310_4
GF022	ENSG00000285971	NKAIN3	224	chr8	62249128	chr8	62579537	Normal11_7047_9,Normal11_7039_1,Normal11_7039_10,Normal11_7039_11,Normal11_7039_12,Normal11_7039_13,Normal11_7039_14,Normal11_7039_15,Normal11_7039_17,Normal11_7039_19,Normal11_7039_20,Normal11_7039_21,Normal11_7039_24,Normal11_7039_25,Normal11_7039_27,Normal11_7039_29,Normal11_7039_3,Normal11_7039_30,Normal11_7039_31,Normal11_7039_4,Normal11_7039_5,Normal11_7039_6,Normal11_7039_7,Normal11_7039_8,Normal11_7039_9,Normal11_7040_10,Normal11_7040_11,Normal11_7040_12,Normal11_7040_13,Normal11_7040_14,Normal11_7040_16,Normal11_7040_17,Normal11_7040_18,Normal11_7040_19,Normal11_7040_2,Normal11_7040_20,Normal11_7040_21,Normal11_7040_22,Normal11_7040_23,Normal11_7040_24,Normal11_7040_25,Normal11_7040_26,Normal11_7040_27,Normal11_7040_28,Normal11_7040_29,Normal11_7040_3,Normal11_7040_4,Normal11_7040_6,Normal11_7040_7,Normal11_7040_8,Normal11_7040_9,Normal11_7041_1,Normal11_7041_10,Normal11_7041_12,Normal11_7041_13,Normal11_7041_14,Normal11_7041_15,Normal11_7041_16,Normal11_7041_17,Normal11_7041_18,Normal11_7041_19,Normal11_7041_2,Normal11_7041_20,Normal11_7041_21,Normal11_7041_23,Normal11_7041_24,Normal11_7041_25,Normal11_7041_26,Normal11_7041_27,Normal11_7041_28,Normal11_7041_29,Normal11_7041_3,Normal11_7041_30,Normal11_7041_4,Normal11_7041_5,Normal11_7041_6,Normal11_7041_7,Normal11_7041_8,Normal11_7042_1,Normal11_7042_10,Normal11_7042_11,Normal11_7042_12,Normal11_7042_13,Normal11_7042_14,Normal11_7042_17,Normal11_7042_19,Normal11_7042_2,Normal11_7042_20,Normal11_7042_21,Normal11_7042_22,Normal11_7042_23,Normal11_7042_24,Normal11_7042_25,Normal11_7042_26,Normal11_7042_27,Normal11_7042_28,Normal11_7042_29,Normal11_7042_30,Normal11_7042_4,Normal11_7042_5,Normal11_7042_6,Normal11_7042_7,Normal11_7042_8,Normal11_7042_9,Normal11_7043_1,Normal11_7043_10,Normal11_7043_11,Normal11_7043_12,Normal11_7043_13,Normal11_7043_14,Normal11_7043_15,Normal11_7043_17,Normal11_7043_18,Normal11_7043_19,Normal11_7043_2,Normal11_7043_20,Normal11_7043_21,Normal11_7043_24,Normal11_7043_25,Normal11_7043_26,Normal11_7043_27,Normal11_7043_28,Normal11_7043_29,Normal11_7043_3,Normal11_7043_30,Normal11_7043_31,Normal11_7043_4,Normal11_7043_5,Normal11_7043_6,Normal11_7043_8,Normal11_7044_11,Normal11_7044_15,Normal11_7044_42,Normal11_7044_44,Normal11_7044_66,Normal11_7045_11,Normal11_7045_13,Normal11_7045_16,Normal11_7045_18,Normal11_7045_2,Normal11_7045_20,Normal11_7045_21,Normal11_7045_24,Normal11_7045_25,Normal11_7045_26,Normal11_7045_28,Normal11_7045_29,Normal11_7045_3,Normal11_7045_7,Normal11_7045_8,Normal11_7046_1,Normal11_7046_10,Normal11_7046_11,Normal11_7046_13,Normal11_7046_15,Normal11_7046_16,Normal11_7046_17,Normal11_7046_18,Normal11_7046_2,Normal11_7046_21,Normal11_7046_23,Normal11_7046_24,Normal11_7046_25,Normal11_7046_26,Normal11_7046_28,Normal11_7046_29,Normal11_7046_30,Normal11_7046_31,Normal11_7046_4,Normal11_7046_5,Normal11_7046_6,Normal11_7046_7,Normal11_7046_8,Normal11_7047_10,Normal11_7047_11,Normal11_7047_12,Normal11_7047_14,Normal11_7047_16,Normal11_7047_17,Normal11_7047_19,Normal11_7047_2,Normal11_7047_20,Normal11_7047_22,Normal11_7047_24,Normal11_7047_26,Normal11_7047_28,Normal11_7047_29,Normal11_7047_3,Normal11_7047_4,Normal11_7047_5,Normal11_7047_6,Normal11_7047_7,Normal11_7047_8,Normal11_7044_47,Normal11_7045_19,Normal11_7040_1
GF028	XKR9	ENSG00000285579	26	chr8	70707152	chr8	71053476	Normal11_7578_9,Normal11_7578_10,Normal11_7578_12,Normal11_7578_14,Normal11_7578_16,Normal11_7578_17,Normal11_7578_18,Normal11_7578_19,Normal11_7578_2,Normal11_7578_20,Normal11_7578_21,Normal11_7578_22,Normal11_7578_23,Normal11_7578_24,Normal11_7578_26,Normal11_7578_27,Normal11_7578_28,Normal11_7578_29,Normal11_7578_3,Normal11_7578_30,Normal11_7578_31,Normal11_7578_5,Normal11_7578_6,Normal11_7578_7,Normal11_7578_8,Normal11_7578_15
GF029	ENSG00000254180	LINC00534	39	chr8	90454522	chr8	90669037	Normal11_8584_9,Normal11_8584_10,Normal11_8584_11,Normal11_8584_12,Normal11_8584_16,Normal11_8584_17,Normal11_8584_19,Normal11_8584_20,Normal11_8584_21,Normal11_8584_23,Normal11_8584_24,Normal11_8584_27,Normal11_8584_28,Normal11_8584_29,Normal11_8584_3,Normal11_8584_30,Normal11_8584_4,Normal11_8584_5,Normal11_8584_6,Normal11_8584_7,Normal11_8584_1,Normal11_8584_14,Normal11_8584_15,Normal11_8584_18,Normal11_8584_22,Normal11_8584_25
GF031	MTAP	ENSG00000264545	23	chr9	21818202	chr9	22029429	Normal12_3815_9,Normal12_3815_1,Normal12_3815_10,Normal12_3815_11,Normal12_3815_12,Normal12_3815_13,Normal12_3815_15,Normal12_3815_16,Normal12_3815_17,Normal12_3815_19,Normal12_3815_2,Normal12_3815_21,Normal12_3815_22,Normal12_3815_23,Normal12_3815_24,Normal12_3815_25,Normal12_3815_26,Normal12_3815_28,Normal12_3815_29,Normal12_3815_4,Normal12_3815_5,Normal12_3815_7,Normal12_3815_8
GF032	ENSG00000260412	LINGO2	24	chr9	27950708	chr9	29212920	Normal12_3984_9,Normal12_3984_15,Normal12_3984_27,Normal12_3984_29,Normal12_3984_32,Normal12_3984_37,Normal12_3984_38,Normal12_3984_40,Normal12_3984_41,Normal12_3984_44,Normal12_3984_48,Normal12_3984_5
GF034	ENSG00000291181	ENSG00000234042	3	chr9	39887560	chr9	63703588	Normal12_5083_2,Normal12_5083_12,Normal12_5083_19
GF035	ENSG00000237461	STX17-DT	21	chr9	99463071	chr9	99838985	Normal12_7619_6,Normal12_7619_1,Normal12_7619_10,Normal12_7619_11,Normal12_7619_13,Normal12_7619_14,Normal12_7619_17,Normal12_7619_18,Normal12_7619_19,Normal12_7619_2,Normal12_7619_21,Normal12_7619_23,Normal12_7619_25,Normal12_7619_28,Normal12_7619_30,Normal12_7619_5
GF037	DELEC1	ENSG00000228714	26	chr9	115325433	chr9	115741460	Normal12_8446_9,Normal12_8446_1,Normal12_8446_10,Normal12_8446_11,Normal12_8446_12,Normal12_8446_13,Normal12_8446_15,Normal12_8446_16,Normal12_8446_19,Normal12_8446_20,Normal12_8446_21,Normal12_8446_22,Normal12_8446_23,Normal12_8446_24,Normal12_8446_25,Normal12_8446_28,Normal12_8446_3,Normal12_8446_4,Normal12_8446_5,Normal12_8446_6,Normal12_8446_7,Normal12_8446_8
GF039	ENSG00000285082	ENSG00000284977	40	chr9	117848152	chr9	118057028	Normal12_8522_9,Normal12_8521_1,Normal12_8521_11,Normal12_8521_12,Normal12_8521_13,Normal12_8521_17,Normal12_8521_18,Normal12_8521_19,Normal12_8521_2,Normal12_8521_20,Normal12_8521_21,Normal12_8521_22,Normal12_8521_24,Normal12_8521_25,Normal12_8521_26,Normal12_8521_3,Normal12_8521_30,Normal12_8521_4,Normal12_8521_6,Normal12_8521_7,Normal12_8521_8,Normal12_8521_9,Normal12_8522_11,Normal12_8522_12,Normal12_8522_13,Normal12_8522_16,Normal12_8522_17,Normal12_8522_19,Normal12_8522_2,Normal12_8522_23,Normal12_8522_3,Normal12_8522_31,Normal12_8522_32,Normal12_8522_5
GF040	ENSG00000285082	ENSG00000284977	24	chr9	117761448	chr9	118057027	Normal12_8511_6,Normal12_8511_1,Normal12_8511_10,Normal12_8511_11,Normal12_8511_12,Normal12_8511_13,Normal12_8511_14,Normal12_8511_15,Normal12_8511_16,Normal12_8511_18,Normal12_8511_19,Normal12_8511_2,Normal12_8511_20,Normal12_8511_21,Normal12_8511_22,Normal12_8511_25,Normal12_8511_26,Normal12_8511_27,Normal12_8511_28,Normal12_8511_29,Normal12_8511_3,Normal12_8511_4,Normal12_8511_5,Normal12_8511_23
GF042	ENSG00000285082	ENSG00000284977	3	chr9	117803141	chr9	118057028	Normal12_8522_30,Normal12_8522_1,Normal12_8522_15
GF044	ZNF365	ENSG00000285837	5	chr10	62388575	chr10	62623101	Normal13_4924_4,Normal13_4924_17,Normal13_4924_18,Normal13_4924_20,Normal13_4924_29
GF046	KCNC1	SERGEF	16	chr11	17788411	chr11	17988597	Normal14_3296_9,Normal14_3293_11,Normal14_3293_14,Normal14_3293_21,Normal14_3293_24,Normal14_3293_27,Normal14_3293_4,Normal14_3293_5,Normal14_3293_6,Normal14_3296_11,Normal14_3296_15,Normal14_3296_16,Normal14_3296_27,Normal14_3296_28,Normal14_3296_5,Normal14_3296_4
