gene1	gene2	id1	id2	chr1	chr2
VWC2	CDCP1	ENSG00000188730.5	ENSG00000163814.8	chr7	chr3
DEF8	YWHAZ	ENSG00000140995.17	ENSG00000164924.18	chr16	chr8
LATS1	NCBP2	ENSG00000131023.13	ENSG00000114503.11	chr6	chr3
DNAJC11	DNAJC18	ENSG00000007923.17	ENSG00000170464.10	chr1	chr5
GRIN2A	KCNN4	ENSG00000183454.18	ENSG00000104783.15	chr16	chr19
NUTM2G	ADCY1	ENSG00000188152.13	ENSG00000164742.16	chr9	chr7
SYT2	SLC30A9	ENSG00000143858.12	ENSG00000014824.14	chr1	chr4
SLC16A5	ATP5PB	ENSG00000170190.16	ENSG00000116459.11	chr17	chr1
FAM90A8	RASGRP4	ENSG00000285937.1	ENSG00000171777.17	chr8	chr19
NUSAP1	GPR149	ENSG00000137804.14	ENSG00000174948.6	chr15	chr3
ENSG00000281039	FGD4	ENSG00000281039.1	ENSG00000139132.16	chr7	chr12
NTHL1	SLC25A5	ENSG00000065057.9	ENSG00000005022.6	chr16	chrX
RIC1	MPI	ENSG00000107036.12	ENSG00000178802.18	chr9	chr15
GALK1	RSBN1	ENSG00000108479.13	ENSG00000081019.14	chr17	chr1
BRPF3	G3BP1	ENSG00000096070.19	ENSG00000145907.16	chr6	chr5
MMP24OS	BOK	ENSG00000126005.17	ENSG00000176720.6	chr20	chr2
ABCA3	ASB10	ENSG00000167972.14	ENSG00000146926.11	chr16	chr7
CASP7	EIF2B3	ENSG00000165806.21	ENSG00000070785.17	chr10	chr1
TMSB15B	NR4A3	ENSG00000158427.15	ENSG00000119508.18	chrX	chr9
SNUPN	SYT10	ENSG00000169371.14	ENSG00000110975.8	chr15	chr12
NCALD	RIMS2	ENSG00000104490.18	ENSG00000176406.25	chr8	chr8
MIB1	AGBL1	ENSG00000101752.13	ENSG00000273540.5	chr18	chr15
POMT2	GNLY	ENSG00000009830.13	ENSG00000115523.17	chr14	chr2
TPSB2	NPTX1	ENSG00000197253.13	ENSG00000171246.7	chr16	chr17
TPRA1	AQP12A	ENSG00000163870.16	ENSG00000184945.15	chr3	chr2
IRF8	EIF6	ENSG00000140968.12	ENSG00000242372.9	chr16	chr20
