sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
SGNex_HCT116_R2,COMMD10:AP3S1,chr5,116092700,+,chr5,115895087,+,197.611,0,209,TRUE,TRUE,TRUE,K00151:464:H3HL2BBXY:2:1101:19218:21395,119,HighConfidence,Yes
SGNex_HCT116_R1,TIPARP:TP53,chr3,156678614,+,chr17,7676622,-,Inf,0,193,FALSE,TRUE,TRUE,K00151:464:H3HL2BBXY:2:1101:3772:28534,101,HighConfidence,-
SGNex_HCT116_R2,TIPARP:TP53,chr3,156678614,+,chr17,7676622,-,Inf,0,154,FALSE,TRUE,TRUE,K00151:464:H3HL2BBXY:2:1101:3772:28534,54,HighConfidence,-
SGNex_HCT116_R1,COMMD10:AP3S1,chr5,116092700,+,chr5,115895087,+,197.611,0,150,TRUE,TRUE,TRUE,K00151:464:H3HL2BBXY:2:1104:22495:31118,41,HighConfidence,Yes
SGNex_HCT116_R2,PANK2:MAVS,chr20,3889728,+,chr20,3854558,+,35.169,0,65,FALSE,TRUE,TRUE,K00151:464:H3HL2BBXY:2:1101:29112:26160,82,HighConfidence,-
SGNex_HCT116_R1,PANK2:MAVS,chr20,3889728,+,chr20,3854558,+,35.169,0,56,FALSE,TRUE,TRUE,K00151:464:H3HL2BBXY:2:1105:19542:37290,43,HighConfidence,-
SGNex_HCT116_R1,TCF7L2:RP11-57H14.3,chr10,113040126,+,chr10,112888735,+,151.39,0,32,FALSE,TRUE,TRUE,K00151:464:H3HL2BBXY:2:1102:15006:32314,56,HighConfidence,-
SGNex_HCT116_R1,SPAG9:MBTD1,chr17,51120354,-,chr17,51201696,-,81.34,0,26,TRUE,TRUE,TRUE,K00151:464:H3HL2BBXY:2:1103:22069:25210,41,HighConfidence,Yes
SGNex_HCT116_R2,TCF7L2:RP11-57H14.3,chr10,113040126,+,chr10,112888735,+,151.39,0,19,FALSE,TRUE,TRUE,K00151:464:H3HL2BBXY:2:1102:15006:32314,94,HighConfidence,-
SGNex_HCT116_R1,RP11-96H19.1:RP11-446N19.1,chr12,46387972,+,chr12,46652390,+,264.427,0,18,FALSE,TRUE,FALSE,K00151:464:H3HL2BBXY:2:1101:6796:32050,46,HighConfidence,-
SGNex_HCT116_R2,SPAG9:MBTD1,chr17,51120354,-,chr17,51201696,-,81.34,0,17,TRUE,TRUE,TRUE,K00151:464:H3HL2BBXY:2:1118:3640:17509,69,HighConfidence,Yes
SGNex_HCT116_R2,RP11-680G10.1:GSE1,chr16,85357643,+,chr16,85648552,+,290.913,0,15,FALSE,TRUE,FALSE,K00151:464:H3HL2BBXY:2:1109:18873:43902,60,HighConfidence,-
