#FusionName	num_LR	LeftGene	LeftLocalBreakpoint	LeftBreakpoint	RightGene	RightLocalBreakpoint	RightBreakpoint	SpliceType	LR_accessions	LR_FFPM	annots	max_LR_FFPM	frac_dom_iso	above_frac_dom_iso
ENSG00000279880--BPTF	7	ENSG00000279880	3025	chr17:67975958:+	BPTF	35450	chr17:67945409:+	INCL_NON_REF_SPLICE	m64139_220127_180020/166726330/ccs,m64139_220127_180020/25625533/ccs,m64139_220127_180020/92930109/ccs,m64139_220127_180020/46400381/ccs,m64139_220127_180020/26740200/ccs,m64139_220127_180020/120653425/ccs,m64139_220127_180020/114624299/ccs	1.579	[]	1.579	1.0	True
SLC38A4-AS1--ENSG00000272369	7	SLC38A4-AS1	3783	chr12:46387972:+	ENSG00000272369	19729	chr12:46652390:+	ONLY_REF_SPLICE	m64139_220127_180020/42011100/ccs,m64139_220127_180020/157682243/ccs,m64139_220127_180020/83625869/ccs,m64139_220127_180020/44826702/ccs,m64139_220127_180020/20187250/ccs,m64139_220127_180020/168559800/ccs,m64139_220127_180020/92211412/ccs	1.579	[]	1.579	1.0	True
RN7SL1--LINC02574	7	RN7SL1	1231	chr14:49586810:+	LINC02574	4325	chr1:27666254:-	INCL_NON_REF_SPLICE	m64139_220127_180020/162728418/ccs,m64139_220127_180020/82052274/ccs,m64139_220127_180020/49744399/ccs,m64139_220127_180020/30540247/ccs,m64139_220127_180020/98043697/ccs,m64139_220127_180020/161218768/ccs,m64139_220127_180020/50135546/ccs	1.579	[]	1.579	1.0	True
KANSL1--MAPK8IP1P2	5	KANSL1	13574	chr17:46152904:-	MAPK8IP1P2	46497	chr17:45602061:-	INCL_NON_REF_SPLICE	m64139_220127_180020/120587954/ccs,m64139_220127_180020/59902589/ccs,m64139_220127_180020/93849460/ccs,m64139_220127_180020/46794202/ccs,m64139_220127_180020/14549674/ccs	1.128	[]	1.128	1.0	True
VTI1A--LINC02935	5	VTI1A	13845	chr10:112668998:+	LINC02935	23363	chr10:112888735:+	INCL_NON_REF_SPLICE	m64139_220127_180020/40304938/ccs,m64139_220127_180020/162202481/ccs,m64139_220127_180020/80873342/ccs,m64139_220127_180020/180423491/ccs,m64139_220127_180020/95225271/ccs	1.128	[]	1.128	1.0	True
MIER1--RBM25	4	MIER1	11106	chr1:66958171:+	RBM25	43209	chr14:73106015:+	INCL_NON_REF_SPLICE	m64139_220127_180020/126289841/ccs,m64139_220127_180020/102893971/ccs,m64139_220127_180020/34343747/ccs,m64139_220127_180020/168954418/ccs	0.902	["INTERCHROMOSOMAL[chr1--chr14]"]	0.902	1.0	True
SMC3--CTBP1-DT	3	SMC3	19826	chr10:110597029:+	CTBP1-DT	35197	chr4:1252228:+	INCL_NON_REF_SPLICE	m64139_220127_180020/128451412/ccs,m64139_220127_180020/132254160/ccs,m64139_220127_180020/117440861/ccs	0.677	[]	0.677	1.0	True
NICN1--PRPF3	3	NICN1	4508	chr3:49424140:-	PRPF3	23606	chr1:150345613:+	INCL_NON_REF_SPLICE	m64139_220127_180020/177341973/ccs,m64139_220127_180020/24183906/ccs,m64139_220127_180020/58196881/ccs	0.677	["INTERCHROMOSOMAL[chr3--chr1]"]	0.677	1.0	True
NOP2--ZC3HC1	3	NOP2	6377	chr12:6562414:-	ZC3HC1	23636	chr7:130029029:-	INCL_NON_REF_SPLICE	m64139_220127_180020/59180207/ccs,m64139_220127_180020/43254909/ccs,m64139_220127_180020/155060016/ccs	0.677	["INTERCHROMOSOMAL[chr12--chr7]"]	0.677	1.0	True
PRPSAP2--MYC	3	PRPSAP2	12697	chr17:18877870:+	MYC	29856	chr8:127738292:+	ONLY_REF_SPLICE	m64139_220127_180020/104465675/ccs,m64139_220127_180020/65077855/ccs,m64139_220127_180020/81726227/ccs	0.677	["INTERCHROMOSOMAL[chr17--chr8]"]	0.677	1.0	True
