sample,fusion genes,chrom1,base1,strand1,chrom2,base2,strand2,gap (kb),spanning pairs,spanning reads,inframe,aligns,rearrangement,contig,contig break,classification,known
PB10X,RP11-444D3.1:SOX5,chr12,24213343,-,chr12,23896024,-,317.324,0,16,FALSE,TRUE,FALSE,Normal15_7898_10,2428,HighConfidence,-
PB10X,HAS3:CTLA4,chr16,69110031,+,chr2,203870586,+,Inf,0,10,FALSE,TRUE,TRUE,GF_1873,794,HighConfidence,-
PB10X,CIC:KANK1,chr19,42294735,+,chr9,740792,+,Inf,0,10,TRUE,TRUE,TRUE,GF_2998,1985,HighConfidence,-
PB10X,MDK:HNF1B,chr11,46382748,+,chr17,37710663,-,Inf,0,9,TRUE,TRUE,TRUE,GF_1034,451,HighConfidence,-
PB10X,SYT2:SLC30A9,chr1,202600357,-,chr4,42075657,+,Inf,0,9,FALSE,TRUE,TRUE,GF_66,1043,HighConfidence,-
PB10X,IFNLR1:SPATC1L,chr1,24169417,-,chr21,46168658,-,Inf,0,9,TRUE,TRUE,TRUE,GF_3297,342,HighConfidence,-
PB10X,SDR9C7:DHX38,chr12,56929390,-,chr16,72103074,+,Inf,0,9,FALSE,TRUE,TRUE,GF_4375,875,HighConfidence,-
PB10X,ZNF536:ESRRA,chr19,30445732,+,chr11,64315001,+,Inf,0,9,TRUE,TRUE,TRUE,GF_4498,779,HighConfidence,-
PB10X,ACVR2A:GPR83,chr2,147915334,+,chr11,94396524,-,Inf,0,9,TRUE,TRUE,TRUE,GF_2536,427,HighConfidence,-
PB10X,GNAQ:TP53BP2,chr9,77794463,-,chr1,223796590,-,Inf,0,9,FALSE,TRUE,TRUE,GF_591,899,HighConfidence,-
PB10X,BEND2:ADIPOR2,chrX,18195296,-,chr12,1780451,+,Inf,0,9,TRUE,TRUE,TRUE,GF_377,2778,HighConfidence,-
PB10X,SLC35A2:MUM1L1,chrX,48906392,-,chrX,106171012,+,57264.62,0,8,FALSE,TRUE,TRUE,GF_2420,4257,HighConfidence,-
PB10X,TAGLN:PLD5,chr11,117203193,+,chr1,242114026,-,Inf,0,8,TRUE,TRUE,TRUE,GF_1570,454,HighConfidence,-
PB10X,NUSAP1:GPR149,chr15,41365589,+,chr3,154427708,-,Inf,0,8,FALSE,TRUE,TRUE,GF_87,776,HighConfidence,-
PB10X,EXOC3L1:ZNF474,chr16,67188721,-,chr5,122151779,+,Inf,0,8,FALSE,TRUE,TRUE,GF_2935,697,HighConfidence,-
PB10X,CYP4F12:PCOLCE2,chr19,15685197,+,chr3,142843048,-,Inf,0,8,FALSE,TRUE,TRUE,GF_1132,1550,HighConfidence,-
PB10X,PAK4:CCAR2,chr19,39176715,+,chr8,22619150,+,Inf,0,8,FALSE,TRUE,TRUE,GF_4040,1573,HighConfidence,-
PB10X,DEPDC5:ZNF710,chr22,31819225,+,chr15,90067110,+,Inf,0,8,FALSE,TRUE,TRUE,GF_3795,3325,HighConfidence,-
PB10X,MANEA:ATP6V0A1,chr6,95586983,+,chr17,42514289,+,Inf,0,8,TRUE,TRUE,TRUE,GF_4478,967,HighConfidence,-
PB10X,SLC30A8:KCNMB3,chr8,117161888,+,chr3,179243284,-,Inf,0,8,TRUE,TRUE,TRUE,GF_2922,770,HighConfidence,-
PB10X,C8orf58:EIF3B,chr8,22602080,+,chr7,2376950,+,Inf,0,8,FALSE,TRUE,TRUE,GF_4067,1364,HighConfidence,-
PB10X,AQP7:POLK,chr9,33386404,-,chr5,75552471,+,Inf,0,8,FALSE,TRUE,TRUE,GF_3789,286,HighConfidence,-
PB10X,ZFAND5:TP53INP2,chr9,72360110,-,chr20,34705358,+,Inf,0,8,FALSE,TRUE,TRUE,GF_4398,2491,HighConfidence,-
PB10X,FEZF1:STX4,chr7,122303177,-,chr16,31034013,+,Inf,0,7,TRUE,TRUE,TRUE,GF_4392,874,HighConfidence,-
PB10X,ALG13:SLC7A14,chrX,111682294,+,chr3,170486368,-,Inf,0,7,FALSE,TRUE,TRUE,GF_824,9389,HighConfidence,-
PB10X,MMP20:SLC7A10,chr11,102609905,-,chr19,33213002,-,Inf,0,7,FALSE,TRUE,TRUE,GF_981,653,HighConfidence,-
PB10X,SC5D:MMP14,chr11,121306486,+,chr14,22844630,+,Inf,0,7,FALSE,TRUE,TRUE,GF_2677,2223,HighConfidence,-
PB10X,PELI3:ARTN,chr11,66471362,+,chr1,43935590,+,Inf,0,7,TRUE,TRUE,TRUE,GF_691,768,HighConfidence,-
PB10X,SBF2:CCNB1,chr11,9963773,-,chr5,69177239,+,Inf,0,7,TRUE,TRUE,TRUE,GF_4732,433,HighConfidence,-
PB10X,GZMB:SLC36A1,chr14,24632324,-,chr5,151476855,+,Inf,0,7,FALSE,TRUE,TRUE,GF_3725,405,HighConfidence,-
PB10X,PRDX1:PRSS37,chr1,45515654,-,chr7,141837248,-,Inf,0,7,FALSE,TRUE,TRUE,GF_4284,611,HighConfidence,-
PB10X,COQ6:HMHA1,chr14,73955928,+,chr19,1083143,+,Inf,0,7,FALSE,TRUE,TRUE,GF_2391,266,HighConfidence,-
PB10X,UBAP1L:KLHDC8A,chr15,65094475,-,chr1,205343793,-,Inf,0,7,TRUE,TRUE,TRUE,GF_2499,482,HighConfidence,-
PB10X,BTBD1:ATRX,chr15,83050073,-,chrX,77620532,-,Inf,0,7,TRUE,TRUE,TRUE,GF_2238,672,HighConfidence,-
PB10X,CLUL1:JADE2,chr18,618106,+,chr5,134552052,+,Inf,0,7,FALSE,TRUE,TRUE,GF_3359,240,HighConfidence,-
PB10X,TGM3:GBP5,chr20,2310417,+,chr1,89264966,-,Inf,0,7,TRUE,TRUE,TRUE,GF_1752,732,HighConfidence,-
PB10X,KLB:INTS1,chr4,39447475,+,chr7,1500366,-,Inf,0,7,TRUE,TRUE,TRUE,GF_3411,253,HighConfidence,-
PB10X,SFTPC:CCDC175,chr8,22164051,+,chr14,59563859,-,Inf,0,7,FALSE,TRUE,TRUE,GF_1823,555,HighConfidence,-
PB10X,FAM129B:SLC22A8,chr9,127510146,-,chr11,63014983,-,Inf,0,7,TRUE,TRUE,TRUE,GF_3480,1715,HighConfidence,-
PB10X,CXorf38:LIPN,chrX,40637007,-,chr10,88761406,+,Inf,0,7,TRUE,TRUE,TRUE,GF_1614,871,HighConfidence,-
PB10X,RP11-444D3.1:SOX5,chr12,24277216,-,chr12,23896024,-,381.197,0,6,FALSE,TRUE,FALSE,Normal15_7910_2,697,HighConfidence,-
PB10X,LINC00473:PDE10A,chr6,165987529,-,chr6,165543568,-,443.964,0,6,FALSE,TRUE,FALSE,Normal10_131_12,7976,HighConfidence,-
PB10X,CYSTM1:CRHBP,chr5,140194652,+,chr5,76976365,+,63218.284,0,6,FALSE,TRUE,TRUE,GF_2038,199,HighConfidence,-
PB10X,MR1:SEC31B,chr1,181050286,+,chr10,100505495,-,Inf,0,6,FALSE,TRUE,TRUE,GF_3879,242,HighConfidence,-
PB10X,EXTL2:HLA-A,chr1,100877476,-,chr6,29942404,+,Inf,0,6,FALSE,TRUE,TRUE,GF_2264,655,HighConfidence,-
PB10X,CACNA1E:CARHSP1,chr1,181510582,+,chr16,8858472,-,Inf,0,6,FALSE,TRUE,TRUE,GF_1398,1606,HighConfidence,-
PB10X,DHRS2:FAM21C,chr14,23639004,+,chr10,45790356,+,Inf,0,6,FALSE,TRUE,TRUE,GF_4425,313,HighConfidence,-
PB10X,DHRS4L2:RASIP1,chr14,23990359,+,chr19,48722001,-,Inf,0,6,TRUE,TRUE,TRUE,GF_3942,563,HighConfidence,-
PB10X,SLC5A9:ITGB2,chr1,48242616,+,chr21,44888895,-,Inf,0,6,FALSE,TRUE,TRUE,GF_1771,469,HighConfidence,-
PB10X,RP11-404P21.8:SLC29A3,chr14,96262770,+,chr10,71356081,+,Inf,0,6,TRUE,TRUE,TRUE,GF_3218,255,HighConfidence,-
PB10X,ABCA3:ASB10,chr16,2278943,-,chr7,151176297,-,Inf,0,6,FALSE,TRUE,TRUE,GF_162,1004,HighConfidence,-
PB10X,ADCY9:MRPS9,chr16,4007368,-,chr2,105097155,+,Inf,0,6,FALSE,TRUE,TRUE,GF_1645,407,HighConfidence,-
PB10X,SLFN13:YIF1A,chr17,35443789,-,chr11,66287916,-,Inf,0,6,FALSE,TRUE,TRUE,GF_4304,603,HighConfidence,-
PB10X,CLTC:ANKUB1,chr17,59683756,+,chr3,149770674,-,Inf,0,6,FALSE,TRUE,TRUE,GF_2223,1622,HighConfidence,-
